"table_name","column_name","data_type","is_nullable","column_default","constraint_name","constraint_type"
"game_stats","last_updated","timestamp with time zone","NO","now()","2200_37073_7_not_null","CHECK"
"game_stats","last_updated","timestamp with time zone","NO","now()","2200_37073_8_not_null","CHECK"
"game_stats","last_updated","timestamp with time zone","NO","now()","2200_37073_9_not_null","CHECK"
"game_stats","last_updated","timestamp with time zone","NO","now()","2200_37073_3_not_null","CHECK"
"game_stats","last_updated","timestamp with time zone","NO","now()","game_stats_pkey","PRIMARY KEY"
"game_stats","last_updated","timestamp with time zone","NO","now()","game_stats_current_player_id_fkey","FOREIGN KEY"
"game_stats","last_updated","timestamp with time zone","NO","now()","game_stats_game_idx","UNIQUE"
"game_stats","last_updated","timestamp with time zone","NO","now()","2200_37073_1_not_null","CHECK"
"game_stats","last_updated","timestamp with time zone","NO","now()","game_stats_game_id_fkey","FOREIGN KEY"
"game_stats","total_elapsed_time","integer","NO","0","2200_37073_7_not_null","CHECK"
"game_stats","total_elapsed_time","integer","NO","0","2200_37073_2_not_null","CHECK"
"game_stats","total_elapsed_time","integer","NO","0","game_stats_game_id_fkey","FOREIGN KEY"
"game_stats","total_elapsed_time","integer","NO","0","game_stats_current_player_id_fkey","FOREIGN KEY"
"game_stats","total_elapsed_time","integer","NO","0","2200_37073_6_not_null","CHECK"
"game_stats","total_elapsed_time","integer","NO","0","2200_37073_1_not_null","CHECK"
"game_stats","total_elapsed_time","integer","NO","0","2200_37073_3_not_null","CHECK"
"game_stats","total_elapsed_time","integer","NO","0","2200_37073_8_not_null","CHECK"
"game_stats","total_elapsed_time","integer","NO","0","game_stats_pkey","PRIMARY KEY"
"game_stats","total_elapsed_time","integer","NO","0","2200_37073_9_not_null","CHECK"
"game_stats","total_elapsed_time","integer","NO","0","game_stats_game_idx","UNIQUE"
"game_stats","total_elapsed_time","integer","NO","0","2200_37073_5_not_null","CHECK"
"game_stats","turn_elapsed_time","integer","NO","0","2200_37073_9_not_null","CHECK"
"game_stats","turn_elapsed_time","integer","NO","0","2200_37073_7_not_null","CHECK"
"game_stats","turn_elapsed_time","integer","NO","0","2200_37073_5_not_null","CHECK"
"game_stats","turn_elapsed_time","integer","NO","0","2200_37073_6_not_null","CHECK"
